symbol,date,direction,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,pnl
EICHERMOT,3/1/2024,BUY,2024-03-01 10:25:00,3831.3,3850.4565,3821.7217500000006,2024-03-01 10:55:00,3850.4565,target_hit,0.005
EICHERMOT,3/2/2024,SELL,2024-03-02 09:20:00,3839.0,3819.805,3848.5975,2024-03-02 09:25:00,3848.5975,stop_loss,-0.0025
EICHERMOT,3/2/2024,BUY,2024-03-02 09:45:00,3863.5,3882.8174999999997,3853.8412500000004,2024-03-02 11:30:00,3853.8412500000004,stop_loss,-0.0025
EICHERMOT,3/4/2024,SELL,2024-03-04 09:20:00,3809.75,3790.70125,3819.274375,2024-03-04 10:05:00,3790.70125,target_hit,0.005
EICHERMOT,3/5/2024,BUY,2024-03-05 09:20:00,3791.25,3810.2062499999997,3781.7718750000004,2024-03-05 09:25:00,3781.7718750000004,stop_loss,-0.0025
EICHERMOT,3/5/2024,SELL,2024-03-05 10:15:00,3755.2,3736.424,3764.5879999999997,2024-03-05 10:35:00,3764.5879999999997,stop_loss,-0.0025
EICHERMOT,3/6/2024,SELL,2024-03-06 10:00:00,3758.15,3739.35925,3767.5453749999997,2024-03-06 10:05:00,3767.5453749999997,stop_loss,-0.0025
EICHERMOT,3/7/2024,SELL,2024-03-07 10:05:00,3779.15,3760.25425,3788.597875,2024-03-07 12:55:00,3788.597875,stop_loss,-0.0025
EICHERMOT,3/11/2024,SELL,2024-03-11 09:45:00,3783.8,3764.8810000000003,3793.2595,2024-03-11 11:30:00,3793.2595,stop_loss,-0.0025
EICHERMOT,3/11/2024,BUY,2024-03-11 11:40:00,3809.6,3828.6479999999997,3800.076,2024-03-11 12:10:00,3800.076,stop_loss,-0.0025
EICHERMOT,3/12/2024,BUY,2024-03-12 09:20:00,3803.75,3822.7687499999997,3794.2406250000004,2024-03-12 10:15:00,3822.7687499999997,target_hit,0.005
EICHERMOT,3/13/2024,SELL,2024-03-13 09:35:00,3810.7,3791.6465,3820.22675,2024-03-13 10:00:00,3791.6465,target_hit,0.005
EICHERMOT,3/14/2024,BUY,2024-03-14 09:20:00,3735.55,3754.2277499999996,3726.2111250000003,2024-03-14 09:45:00,3726.2111250000003,stop_loss,-0.0025
EICHERMOT,3/15/2024,BUY,2024-03-15 09:30:00,3770.5,3789.3524999999995,3761.07375,2024-03-15 09:40:00,3761.07375,stop_loss,-0.0025
EICHERMOT,3/15/2024,SELL,2024-03-15 09:55:00,3746.8,3728.0660000000003,3756.167,2024-03-15 10:25:00,3728.0660000000003,target_hit,0.005
EICHERMOT,3/18/2024,SELL,2024-03-18 09:20:00,3697.95,3679.4602499999996,3707.1948749999997,2024-03-18 09:25:00,3707.1948749999997,stop_loss,-0.0025
EICHERMOT,3/19/2024,BUY,2024-03-19 10:15:00,3696.55,3715.03275,3687.3086250000006,2024-03-19 15:00:00,3715.03275,target_hit,0.005
EICHERMOT,3/22/2024,SELL,2024-03-22 09:20:00,3913.3,3893.7335000000003,3923.08325,2024-03-22 09:40:00,3893.7335000000003,target_hit,0.005
EICHERMOT,3/22/2024,BUY,2024-03-22 11:30:00,3952.0,3971.7599999999998,3942.1200000000003,2024-03-22 11:50:00,3971.7599999999998,target_hit,0.005
EICHERMOT,3/26/2024,SELL,2024-03-26 10:00:00,3975.95,3956.0702499999998,3985.8898749999994,2024-03-26 10:25:00,3956.0702499999998,target_hit,0.005
EICHERMOT,3/27/2024,BUY,2024-03-27 09:20:00,3937.45,3957.1372499999993,3927.606375,2024-03-27 09:55:00,3957.1372499999993,target_hit,0.005
EICHERMOT,3/27/2024,SELL,2024-03-27 15:00:00,3914.85,3895.27575,3924.6371249999997,2024-03-27 15:15:00,3907.9,time_exit,0.00177529
EICHERMOT,3/28/2024,SELL,2024-03-28 09:20:00,3898.35,3878.8582499999998,3908.0958749999995,2024-03-28 09:30:00,3908.0958749999995,stop_loss,-0.0025
EICHERMOT,3/28/2024,BUY,2024-03-28 09:45:00,3965.9,3985.7294999999995,3955.98525,2024-03-28 09:55:00,3955.98525,stop_loss,-0.0025
EICHERMOT,4/1/2024,SELL,2024-04-01 09:20:00,4038.2,4018.009,4048.2954999999997,2024-04-01 09:30:00,4048.2954999999997,stop_loss,-0.0025
EXIDEIND,1/1/2024,BUY,2024-01-01 09:25:00,321.4,323.00699999999995,320.5965,2024-01-01 09:40:00,320.5965,stop_loss,-0.0025
EXIDEIND,1/2/2024,BUY,2024-01-02 09:20:00,322.9,324.51449999999994,322.09274999999997,2024-01-02 09:55:00,322.09274999999997,stop_loss,-0.0025
